yıl,km,yas,küme,yas_ay,küme2
1996,220.0,28,0,336,1
1996,264.0,28,0,336,1
1996,357.0,28,4,336,1
1997,270.0,27,0,324,1
1997,267.0,27,0,324,1
1997,243.0,27,0,324,1
1998,252.0,26,0,312,1
1998,289.0,26,4,312,1
1998,197.0,26,3,312,4
1999,247.0,25,0,300,1
1999,250.0,25,0,300,1
1999,230.0,25,0,300,1
2000,300.0,24,4,288,1
2000,186.0,24,3,288,4
2000,270.0,24,0,288,1
2001,187.0,23,3,276,4
2001,177.0,23,3,276,4
2001,303.0,23,4,276,1
2002,201.0,22,3,264,4
2002,299.0,22,4,264,1
2002,221.0,22,0,264,4
2003,278.0,21,0,252,4
2003,275.0,21,0,252,4
2003,327.0,21,4,252,1
2004,210.0,20,3,240,4
2004,234.0,20,0,240,4
2004,273.0,20,0,240,4
2005,255.0,19,0,228,4
2005,223.0,19,0,228,4
2005,202.0,19,3,228,4
2006,102.0,18,1,216,3
2006,235.0,18,0,216,4
2006,240.0,18,0,216,4
2007,239.0,17,0,204,4
2007,277.0,17,0,204,4
2007,260.0,17,0,204,4
2008,215.0,16,3,192,2
2008,225.0,16,0,192,2
2008,204.0,16,3,192,2
2009,228.0,15,0,180,2
2009,205.0,15,3,180,2
2009,225.0,15,0,180,2
2010,190.0,14,3,168,2
2010,82.0,14,1,168,3
2010,181.0,14,3,168,2
2011,151.0,13,3,156,3
2011,257.0,13,0,156,2
2011,150.0,13,3,156,3
2012,262.0,12,0,144,2
2012,126.0,12,1,144,3
2012,194.0,12,3,144,2
2013,77.0,11,1,132,3
2013,200.0,11,3,132,2
2013,180.0,11,3,132,3
2014,230.0,10,0,120,2
2014,132.0,10,1,120,3
2014,191.0,10,3,120,3
2015,190.0,9,3,108,3
2015,170.0,9,3,108,3
2015,155.0,9,3,108,3
2016,131.0,8,1,96,3
2016,200.0,8,3,96,3
2016,164.0,8,3,96,3
2017,138.0,7,1,84,3
2017,70.0,7,2,84,0
2017,175.0,7,3,84,3
2018,114.0,6,1,72,3
2018,160.0,6,3,72,3
2018,150.0,6,3,72,3
2019,90.0,5,1,60,0
2019,99.0,5,1,60,0
2019,110.0,5,1,60,3
2020,65.0,4,2,48,0
2020,55.0,4,2,48,0
2020,57.0,4,2,48,0
2021,42.0,3,2,36,0
2021,40.0,3,2,36,0
2021,55.0,3,2,36,0
2022,46.0,2,2,24,0
2022,46.0,2,2,24,0
2022,40.0,2,2,24,0
2023,14.0,1,2,12,0
2023,20.0,1,2,12,0
2023,42.0,1,2,12,0
2024,7.0,0,2,0,0
2024,10.0,0,2,0,0
2024,8.0,0,2,0,0
